Codigo BIN	Nombre Variable	Tipo de Dato	Dirección PLC
FD1	FD1_Trigger	int	db831.dbw0
FD1	FD1_Lote	int	db831.dbw2
FD1	FD1_Intake_Real	double	db831.dbd4
FD2	FD2_Trigger	int	db831.dbw8
FD2	FD2_Lote	int	db831.dbw10
FD2	FD2_Intake_Real	double	db831.dbd12
FD3	FD3_Trigger	int	db831.dbw16
FD3	FD3_Lote	int	db831.dbw18
FD3	FD3_Intake_Real	double	db831.dbd20
FD4	FD4_Trigger	int	db831.dbw24
FD4	FD4_Lote	int	db831.dbw26
FD4	FD4_Intake_Real	double	db831.dbd28
FD5	FD5_Trigger	int	db831.dbw32
FD5	FD5_Lote	int	db831.dbw34
FD5	FD5_Intake_Real	double	db831.dbd36
FD6	FD6_Trigger	int	db831.dbw40
FD6	FD6_Lote	int	db831.dbw42
FD6	FD6_Intake_Real	double	db831.dbd44
FD7	FD7_Trigger	int	db831.dbw48
FD7	FD7_Lote	int	db831.dbw50
FD7	FD7_Intake_Real	double	db831.dbd52
FD8	FD8_Trigger	int	db831.dbw56
FD8	FD8_Lote	int	db831.dbw58
FD8	FD8_Intake_Real	double	db831.dbd60
FD9	FD9_Trigger	int	db831.dbw64
FD9	FD9_Lote	int	db831.dbw66
FD9	FD9_Intake_Real	double	db831.dbd68
FD10	FD10_Trigger	int	db831.dbw72
FD10	FD10_Lote	int	db831.dbw74
FD10	FD10_Intake_Real	double	db831.dbd76
FD11	FD11_Trigger	int	db831.dbw80
FD11	FD11_Lote	int	db831.dbw82
FD11	FD11_Intake_Real	double	db831.dbd84
FD12	FD12_Trigger	int	db831.dbw88
FD12	FD12_Lote	int	db831.dbw90
FD12	FD12_Intake_Real	double	db831.dbd92
FD13	FD13_Trigger	int	db831.dbw96
FD13	FD13_Lote	int	db831.dbw98
FD13	FD13_Intake_Real	double	db831.dbd100
FD14	FD14_Trigger	int	db831.dbw104
FD14	FD14_Lote	int	db831.dbw106
FD14	FD14_Intake_Real	double	db831.dbd108
FD15	FD15_Trigger	int	db831.dbw112
FD15	FD15_Lote	int	db831.dbw114
FD15	FD15_Intake_Real	double	db831.dbd116
FD16	FD16_Trigger	int	db831.dbw120
FD16	FD16_Lote	int	db831.dbw122
FD16	FD16_Intake_Real	double	db831.dbd124
FD17	FD17_Trigger	int	db831.dbw128
FD17	FD17_Lote	int	db831.dbw130
FD17	FD17_Intake_Real	double	db831.dbd132
SD1	SD1_Trigger	int	db831.dbw136
SD1	SD1_Lote	int	db831.dbw138
SD1	SD1_Intake_Real	double	db831.dbd140
SD2	SD2_Trigger	int	db831.dbw144
SD2	SD2_Lote	int	db831.dbw146
SD2	SD2_Intake_Real	double	db831.dbd148
SD3	SD3_Trigger	int	db831.dbw152
SD3	SD3_Lote	int	db831.dbw154
SD3	SD3_Intake_Real	double	db831.dbd156
WL1_M2	WL1_M2_Trigger	int	db831.dbw160
WL1_M2	WL1_M2_Lote	int	db831.dbw162
WL1_M2	WL1_M2_Intake_Real	double	db831.dbd164
WL2_M2	WL2_M2_Trigger	int	db831.dbw168
WL2_M2	WL2_M2_Lote	int	db831.dbw170
WL2_M2	WL2_M2_Intake_Real	double	db831.dbd172
WL3_M2	WL3_M2_Trigger	int	db831.dbw176
WL3_M2	WL3_M2_Lote	int	db831.dbw178
WL3_M2	WL3_M2_Intake_Real	double	db831.dbd180
WL4_M2	WL4_M2_Trigger	int	db831.dbw184
WL4_M2	WL4_M2_Lote	int	db831.dbw186
WL4_M2	WL4_M2_Intake_Real	double	db831.dbd188
WL5_M2	WL5_M2_Trigger	int	db831.dbw192
WL5_M2	WL5_M2_Lote	int	db831.dbw194
WL5_M2	WL5_M2_Intake_Real	double	db831.dbd196
WL6_M2	WL6_M2_Trigger	int	db831.dbw200
WL6_M2	WL6_M2_Lote	int	db831.dbw202
WL6_M2	WL6_M2_Intake_Real	double	db831.dbd204
WL1_M1	WL1_M1_Trigger	int	db831.dbw208
WL1_M1	WL1_M1_Lote	int	db831.dbw210
WL1_M1	WL1_M1_Intake_Real	double	db831.dbd212
WL2_M1	WL2_M1_Trigger	int	db831.dbw216
WL2_M1	WL2_M1_Lote	int	db831.dbw218
WL2_M1	WL2_M1_Intake_Real	double	db831.dbd220
WL3_M1	WL3_M1_Trigger	int	db831.dbw224
WL3_M1	WL3_M1_Lote	int	db831.dbw226
WL3_M1	WL3_M1_Intake_Real	double	db831.dbd228
WL4_M1	WL4_M1_Trigger	int	db831.dbw232
WL4_M1	WL4_M1_Lote	int	db831.dbw234
